10 0.040290ms
10.5 0.039213ms
11 0.038773ms
11.5 0.038759ms
12 0.038737ms
12.5 0.038333ms
13 0.038700ms
13.5 0.039770ms
14 0.037611ms
14.5 0.038201ms
15 0.039817ms
15.5 0.039618ms
16 0.040277ms
16.5 1.044400ms
